,lat,lon,mapper_count,elevation
0,-25.507947,-48.529614,0,0.0
1,-25.504388,-48.532671,0,0.0
2,-25.503469,-48.531695,0,0.0
3,-22.958885,-43.199452,0,0.0
4,-22.958874,-43.198477,0,0.0
5,-21.30701,47.628642,5,0.0
6,-18.926096,47.556871,0,0.0
7,-18.915313,47.552911,0,0.0
8,-4.045587,39.700886,6,0.0
9,-1.217844,36.895308,0,0.0
10,-1.156052,37.955587,0,0.0
11,-1.154244,37.958284,0,0.0
12,3.99986,-78.604423,0,0.0
13,4.648003,-74.245366,20,0.0
14,5.628135,-0.092673,0,0.0
15,5.765573,-56.689296,0,0.0
16,5.767381,-56.686585,0,0.0
17,5.771,-56.687487,0,0.0
18,5.817888,-55.174742,0,0.0
19,5.817891,-55.175645,0,0.0
20,5.857015,-56.888887,38,0.0
21,5.857913,-56.856366,0,0.0
22,5.85792,-56.888887,0,0.0
23,5.876524,-56.327893,25,0.0
24,5.917633,-56.932241,16,0.0
25,5.917635,-56.95302,0,0.0
26,5.918541,-57.034331,5,0.0
27,5.923065,-56.988255,0,0.0
28,5.923065,-56.987351,0,0.0
29,5.923969,-57.031621,70,0.0
30,5.923969,-56.988255,0,0.0
31,5.929397,-57.019876,3,0.0
32,5.935727,-57.050595,12,0.0
33,5.938444,-56.995483,21,0.0
34,5.940253,-56.985544,0,0.0
35,5.942059,-57.05692,30,0.0
36,5.942062,-56.995483,14,0.0
37,5.942062,-56.976509,0,0.0
38,5.942964,-57.05692,60,0.0
39,5.942966,-56.975606,0,0.0
40,5.942966,-56.974702,0,0.0
41,5.942967,-56.984641,118,0.0
42,5.943869,-56.953018,0,0.0
43,5.943871,-56.998193,50,0.0
44,5.943871,-56.99729,0,0.0
45,5.944776,-56.998193,0,0.0
46,5.944776,-56.990965,0,0.0
47,5.94568,-57.03343,25,0.0
48,5.945681,-56.990061,0,0.0
49,5.952917,-57.031623,0,0.0
50,5.952917,-57.027105,3,0.0
51,6.584167,100.699502,0,0.0
52,6.643783,100.076543,0,0.0
53,7.022533,100.485635,5,0.0
54,7.037064,99.675451,221,0.0
55,7.115882,99.584105,3,0.0
56,7.125307,100.581021,20,0.0
57,7.12531,100.580116,20,0.0
58,7.147539,99.585956,469,0.0
59,7.159602,100.600151,4,0.0
60,7.198488,100.599382,10,0.0
61,7.344872,99.462992,370,0.0
62,7.527396,99.620896,54,0.0
63,7.528301,99.620897,532,0.0
64,7.531753,99.728761,10,0.0
65,7.531759,99.725136,21,0.0
66,7.532851,99.600963,12,0.0
67,7.533756,99.600964,70,0.0
68,7.533757,99.600058,321,0.0
69,7.533758,99.599151,137,0.0
70,7.534475,99.723328,0,0.0
71,7.534652,99.60731,38,0.0
72,7.53466,99.600965,68,0.0
73,7.534663,99.599153,40,0.0
74,7.535555,99.608218,2,0.0
75,7.535556,99.607311,69,0.0
76,7.535565,99.600967,72,0.0
77,7.535569,99.598247,124,0.0
78,7.536461,99.607313,44,0.0
79,7.536469,99.600968,28,0.0
80,7.537187,99.724239,12,0.0
81,7.537189,99.723332,67,0.0
82,7.53719,99.722426,285,0.0
83,7.537192,99.72152,26,0.0
84,7.537364,99.60822,31,0.0
85,7.537365,99.607314,5,0.0
86,7.537366,99.606408,4,0.0
87,7.537374,99.600969,21,0.0
88,7.538093,99.723334,1,0.0
89,7.53827,99.607315,9,0.0
90,7.538282,99.598251,45,0.0
91,7.539173,99.608223,66,0.0
92,7.54008,99.606411,194,0.0
93,7.540081,99.605505,537,0.0
94,7.540985,99.606413,73,0.0
95,7.540986,99.605506,91,0.0
96,7.542791,99.608228,56,0.0
97,7.542792,99.607321,213,0.0
98,7.542859,99.557468,5,0.0
99,7.543523,99.72153,17,0.0
100,7.543698,99.606416,27,0.0
101,7.544428,99.721531,261,0.0
102,7.544603,99.606418,26,0.0
103,7.545294,99.744193,0,0.0
104,7.545331,99.722439,120,0.0
105,7.545332,99.721533,187,0.0
106,7.545334,99.720627,0,0.0
107,7.546231,99.72516,0,0.0
108,7.547138,99.723349,11,0.0
109,7.548955,99.71882,38,0.0
110,7.550753,99.725168,2,0.0
111,7.55165,99.729701,47,0.0
112,7.551652,99.728795,175,0.0
113,7.551653,99.727888,85,0.0
114,7.551655,99.726982,27,0.0
115,7.553637,100.080473,30,0.0
116,7.562562,99.694368,0,0.0
117,7.599778,100.392382,40,0.0
118,7.606166,100.050691,24,0.0
119,7.61243,100.0779,0,0.0
120,7.739259,99.991173,0,0.0
121,7.752101,99.910499,0,0.0
122,7.763874,99.903269,0,0.0
123,7.771092,99.911446,0,0.0
124,7.771094,99.91054,0,0.0
125,7.771096,99.909633,0,0.0
126,7.771098,99.908726,0,0.0
127,7.772773,99.969487,32,0.0
128,7.802789,99.89247,8,0.0
129,7.811723,99.943277,0,0.0
130,7.829842,99.929713,12,0.0
131,7.83075,99.927901,0,0.0
132,7.832529,99.941509,0,0.0
133,7.836441,99.799121,5,0.0
134,7.836443,99.798214,32,0.0
135,7.837072,99.93245,5,0.0
136,7.862671,99.799171,10,0.0
137,7.879628,99.910775,0,0.0
138,7.883273,99.898084,0,0.0
139,7.894077,99.920785,5,0.0
140,8.282801,99.997936,0,0.0
141,8.336039,100.04529,17,0.0
142,8.336943,100.045293,45,0.0
143,8.337845,100.046203,57,0.0
144,8.636703,99.88343,0,0.0
145,8.641206,99.89162,15,0.0
146,8.642111,99.891622,135,0.0
147,8.642119,99.887987,0,0.0
148,8.668241,99.932583,0,0.0
149,8.671859,99.932592,0,0.0
150,8.857422,99.865764,0,0.0
151,8.858316,99.870313,0,0.0
152,8.85832,99.868494,0,0.0
153,8.858323,99.867585,0,0.0
154,8.859223,99.869405,0,0.0
155,8.860127,99.869408,0,0.0
156,8.955892,99.912385,10,0.0
157,12.842492,80.069242,0,0.0
158,13.76262,100.670453,1,0.0
159,13.855433,100.711817,0,0.0
160,13.999513,99.999112,0,0.0
161,14.844382,-15.879276,18,0.0
162,14.85885,-15.878405,11,0.0
163,15.036995,-16.253065,35,0.0
164,15.182259,100.448442,0,0.0
165,15.254459,100.31952,0,0.0
166,15.257903,100.348405,0,0.0
167,15.262523,100.331675,0,0.0
168,15.66865,100.118763,0,0.0
169,15.883726,100.290853,0,0.0
170,15.91734,80.350694,0,0.0
171,15.949615,100.306221,0,0.0
172,16.012539,100.737401,0,0.0
173,16.019452,100.542168,0,0.0
174,16.028681,100.3815,0,0.0
175,16.091107,99.849959,0,0.0
176,16.168331,100.575113,18,0.0
177,16.22002,100.422115,0,0.0
178,16.220988,99.918813,2,0.0
179,16.220992,99.917877,0,0.0
180,16.294058,100.29257,0,0.0
181,16.299378,100.691251,0,0.0
182,16.314061,100.273047,0,0.0
183,16.363091,99.619862,0,0.0
184,16.376279,100.296856,0,0.0
185,16.405194,100.297984,0,0.0
186,16.447448,100.333853,40,0.0
187,16.459168,99.525551,0,0.0
188,16.463679,99.529311,0,0.0
189,16.469124,99.520894,0,0.0
190,16.478166,99.519981,0,0.0
191,16.47906,99.523731,0,0.0
192,16.479111,99.50312,0,0.0
193,16.479928,99.537787,0,0.0
194,16.488942,100.480266,0,0.0
195,16.567251,100.642973,11,0.0
196,16.663959,100.252834,0,0.0
197,16.685028,99.839409,0,0.0
198,16.773578,100.209456,0,0.0
199,16.780741,100.22076,20,0.0
200,16.781209,101.240386,0,0.0
201,16.781645,100.220765,20,0.0
202,16.782648,100.203884,0,0.0
203,16.786108,100.230176,5,0.0
204,16.799523,100.25372,20,0.0
205,16.799586,100.243399,0,0.0
206,16.802437,100.21996,2,0.0
207,16.805676,100.28191,0,0.0
208,16.806667,100.267841,0,0.0
209,16.809476,100.251908,0,0.0
210,16.810305,100.264112,0,0.0
211,16.810957,100.304465,0,0.0
212,16.813377,100.349522,0,0.0
213,16.816384,99.977938,0,0.0
214,16.819728,100.345813,0,0.0
215,16.822675,100.309237,0,0.0
216,16.822687,100.30736,0,0.0
217,16.82842,100.257663,0,0.0
218,16.833779,100.268022,0,0.0
219,16.840289,100.238034,0,0.0
220,16.859953,100.273828,0,0.0
221,16.87257,100.279544,0,0.0
222,16.884295,101.231278,0,0.0
223,16.899185,100.21307,0,0.0
224,16.933387,100.236763,0,0.0
225,16.933392,100.235824,11,0.0
226,16.933432,100.229251,0,0.0
227,16.949869,100.345797,0,0.0
228,16.953292,100.233137,20,0.0
229,16.992472,100.326377,0,0.0
230,16.992479,100.325438,5,0.0
231,17.005026,99.572143,0,0.0
232,17.029568,100.172572,4,0.0
233,17.056059,99.94535,20,0.0
234,17.118227,100.879838,0,0.0
235,17.176865,100.322041,0,0.0
236,17.178488,99.602763,0,0.0
237,17.179392,99.602766,0,0.0
238,17.179394,99.601826,0,0.0
239,17.180216,100.060688,0,0.0
240,17.304962,100.056697,0,0.0
241,17.307573,100.075529,0,0.0
242,17.39592,78.56409,0,0.0
243,17.400609,78.364594,0,0.0
244,17.497789,78.337785,0,0.0
245,17.600207,100.110231,0,0.0
246,17.630182,100.083081,0,0.0
247,17.640002,100.104819,0,0.0
248,17.640008,100.103876,56,0.0
249,17.665796,100.176622,0,0.0
250,17.688713,100.121144,80,0.0
251,17.70867,100.108067,47,0.0
252,18.023847,-67.152335,0,0.0
253,18.023856,-67.153279,0,0.0
254,18.023865,-67.154223,14,0.0
255,18.023874,-67.155167,0,0.0
256,18.02476,-67.153269,0,0.0
257,18.024769,-67.154214,0,0.0
258,18.024778,-67.155158,0,0.0
259,18.027416,-67.147575,0,0.0
260,18.027425,-67.14852,0,0.0
261,18.03391,-67.165451,0,0.0
262,18.069089,-67.159419,0,0.0
263,18.128788,-66.071523,0,0.0
264,18.14228,100.139124,0,0.0
265,18.179551,103.898452,0,0.0
266,18.180455,103.898446,0,0.0
267,18.298169,103.652678,0,0.0
268,18.414101,-66.447013,0,0.0
269,18.420738,-66.470568,0,0.0
270,18.421666,-66.472447,0,0.0
271,18.422304,-66.452568,0,0.0
272,18.422582,-66.47338,0,0.0
273,18.431282,-66.448651,0,0.0
274,18.432185,-66.448638,0,0.0
275,18.440997,-66.432422,0,0.0
276,18.449588,-66.400121,3,0.0
277,18.450517,-66.401999,3,0.0
278,18.45513,-66.544827,0,0.0
279,19.515288,74.287102,0,0.0
280,24.969405,121.101968,0,0.0
281,25.02001,121.414298,3,0.0
282,25.020923,121.415277,57,0.0
283,26.340472,-80.104118,10,0.0
284,26.341375,-80.104111,2,0.0
285,26.431887,80.306993,0,0.0
286,28.162051,-80.66183,0,0.0
287,28.165686,-80.672004,0,0.0
288,28.258763,-80.716578,0,0.0
289,28.263275,-80.715546,0,0.0
290,28.265069,-80.710444,0,0.0
291,28.265932,-80.692089,0,0.0
292,28.268676,-80.708395,0,0.0
293,28.287647,-80.715482,0,0.0
294,28.288558,-80.719558,0,0.0
295,28.289461,-80.719556,0,0.0
296,28.292137,-80.704252,0,0.0
297,28.293039,-80.704249,0,0.0
298,28.293949,-80.707306,0,0.0
299,28.293951,-80.708326,0,0.0
300,28.293987,-80.725663,0,0.0
301,28.297593,-80.723614,0,0.0
302,28.299397,-80.72259,0,0.0
303,28.307521,-80.722568,0,0.0
304,28.309326,-80.722564,0,0.0
305,28.611909,-81.158549,0,0.0
306,28.614601,-81.171851,0,0.0
307,28.615509,-81.167761,0,0.0
308,28.616409,-81.169808,1,0.0
309,28.619109,-81.17595,0,0.0
310,28.620008,-81.179021,1,0.0
311,29.479242,-98.47085,20,0.0
312,29.480144,-98.470846,0,0.0
313,29.480149,-98.471877,0,0.0
314,29.481047,-98.470841,0,0.0
315,29.506789,-98.606898,39,0.0
316,29.507692,-98.606895,5,0.0
317,29.546846,-95.556257,0,0.0
318,29.548411,-95.568676,0,0.0
319,29.548431,-95.567645,0,0.0
320,29.554218,-95.548189,0,0.0
321,29.556863,-95.551351,0,0.0
322,29.560152,-95.567942,0,0.0
323,29.572823,-98.661361,1,0.0
324,29.580216,-98.259698,0,0.0
325,29.580221,-98.260731,15,0.0
326,29.581118,-98.259692,0,0.0
327,29.581124,-98.260724,0,0.0
328,29.584536,-98.654094,5,0.0
329,29.589182,-98.249307,0,0.0
330,29.59009,-98.250333,0,0.0
331,29.590975,-98.247229,0,0.0
332,29.627385,-98.505199,0,0.0
333,29.649035,-95.635254,0,0.0
334,29.655116,-98.443068,0,0.0
335,29.656018,-98.443063,0,0.0
336,29.699449,-95.452659,0,0.0
337,29.705799,-95.450747,0,0.0
338,29.711132,-95.45501,0,0.0
339,29.713876,-95.45301,0,0.0
340,29.718002,-95.791021,0,0.0
341,29.719164,-95.778653,0,0.0
342,29.723008,-95.767392,0,0.0
343,29.734132,-95.479343,0,0.0
344,29.734152,-95.47831,0,0.0
345,29.761932,-95.439706,0,0.0
346,29.762875,-95.388033,0,0.0
347,29.781019,-95.431896,5,0.0
348,29.781038,-95.430862,0,0.0
349,29.781057,-95.429829,0,0.0
350,29.781076,-95.428795,0,0.0
351,29.781095,-95.427761,0,0.0
352,29.781114,-95.426728,0,0.0
353,29.781864,-95.435019,0,0.0
354,29.781902,-95.432951,0,0.0
355,29.781921,-95.431918,0,0.0
356,29.781978,-95.428817,0,0.0
357,29.782765,-95.43504,0,0.0
358,29.782804,-95.432973,0,0.0
359,29.782842,-95.430906,0,0.0
360,29.786676,-95.418589,0,0.0
361,29.787578,-95.41861,0,0.0
362,29.789362,-95.419688,0,0.0
363,29.790283,-95.418676,0,0.0
364,29.805349,-95.38387,0,0.0
365,29.805857,-95.405604,0,0.0
366,29.806758,-95.405625,0,0.0
367,29.816545,-95.556888,0,0.0
368,29.824318,-95.43191,0,0.0
369,29.836904,-95.434284,0,0.0
370,29.848375,-95.724286,0,0.0
371,29.856464,-95.400608,0,0.0
372,30.188772,-95.525962,0,0.0
373,30.19324,-95.528153,0,0.0
374,30.194102,-95.530251,0,0.0
375,30.300426,-97.887258,0,0.0
376,30.301337,-97.888287,1,0.0
377,30.30139,-97.894526,35,0.0
378,30.302292,-97.894516,0,0.0
379,30.30315,-97.889307,0,0.0
380,30.326853,-97.918164,0,0.0
381,30.344846,-97.911724,0,0.0
382,30.359974,-97.886584,20,0.0
383,30.360876,-97.886574,0,0.0
384,30.361796,-97.888645,0,0.0
385,30.36361,-97.889665,0,0.0
