,Latitude,Longitude,Date,SMAP_Tile,SPL3SMP_006_Line_Y_36.032km,SPL3SMP_006_Sample_X_36.032km,SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture,SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature
0,18.027425,-67.14851999999999,2020-05-31,h00v00,140.0,302.0,,
1,18.027425,-67.14851999999999,2020-06-01,h00v00,140.0,302.0,,
2,18.027425,-67.14851999999999,2020-06-02,h00v00,140.0,302.0,,306.6542
3,18.027425,-67.14851999999999,2020-06-03,h00v00,140.0,302.0,,
4,18.027425,-67.14851999999999,2020-06-04,h00v00,140.0,302.0,,
5,18.027425,-67.14851999999999,2020-06-05,h00v00,140.0,302.0,,306.9856
6,18.027425,-67.14851999999999,2020-06-06,h00v00,140.0,302.0,,
7,18.027425,-67.14851999999999,2020-06-07,h00v00,140.0,302.0,,306.7578
8,18.027425,-67.14851999999999,2020-06-08,h00v00,140.0,302.0,,
9,18.027425,-67.14851999999999,2020-06-09,h00v00,140.0,302.0,,
10,18.027425,-67.14851999999999,2020-06-10,h00v00,140.0,302.0,,306.6091
11,18.027425,-67.14851999999999,2020-06-11,h00v00,140.0,302.0,,
12,18.027425,-67.14851999999999,2020-06-12,h00v00,140.0,302.0,,
13,18.027425,-67.14851999999999,2020-06-13,h00v00,140.0,302.0,,306.7255
14,18.027425,-67.14851999999999,2020-06-14,h00v00,140.0,302.0,,
15,18.027425,-67.14851999999999,2020-06-15,h00v00,140.0,302.0,,307.1268
16,18.027425,-67.14851999999999,2020-06-16,h00v00,140.0,302.0,,
17,18.027425,-67.14851999999999,2020-06-18,h00v00,140.0,302.0,,306.8309
18,18.027425,-67.14851999999999,2020-06-19,h00v00,140.0,302.0,,
19,18.027425,-67.14851999999999,2020-06-20,h00v00,140.0,302.0,,
20,18.027425,-67.14851999999999,2020-06-21,h00v00,140.0,302.0,,307.2708
21,18.027425,-67.14851999999999,2020-06-22,h00v00,140.0,302.0,,
22,18.027425,-67.14851999999999,2020-06-23,h00v00,140.0,302.0,,307.5689
23,18.027425,-67.14851999999999,2020-06-24,h00v00,140.0,302.0,,
24,18.027425,-67.14851999999999,2020-06-25,h00v00,140.0,302.0,,
25,18.027425,-67.14851999999999,2020-06-26,h00v00,140.0,302.0,,307.0318
26,18.027425,-67.14851999999999,2020-06-27,h00v00,140.0,302.0,,
27,18.027425,-67.14851999999999,2020-06-28,h00v00,140.0,302.0,,
28,18.027425,-67.14851999999999,2020-06-29,h00v00,140.0,302.0,,307.3522
29,18.027425,-67.14851999999999,2020-06-30,h00v00,140.0,302.0,,
30,18.027425,-67.14851999999999,2020-07-01,h00v00,140.0,302.0,,306.631
31,18.027425,-67.14851999999999,2020-07-02,h00v00,140.0,302.0,,
32,18.027425,-67.14851999999999,2020-07-03,h00v00,140.0,302.0,,
33,18.027425,-67.14851999999999,2020-07-04,h00v00,140.0,302.0,,307.1822
34,18.027425,-67.14851999999999,2020-07-05,h00v00,140.0,302.0,,
35,18.027425,-67.14851999999999,2020-07-06,h00v00,140.0,302.0,,
36,18.027425,-67.14851999999999,2020-07-07,h00v00,140.0,302.0,,307.1782
37,18.027425,-67.14851999999999,2020-07-08,h00v00,140.0,302.0,,
38,18.027425,-67.14851999999999,2020-07-09,h00v00,140.0,302.0,,
39,18.027425,-67.14851999999999,2020-07-10,h00v00,140.0,302.0,,
40,18.027425,-67.14851999999999,2020-07-11,h00v00,140.0,302.0,,
41,18.027425,-67.14851999999999,2020-07-12,h00v00,140.0,302.0,,307.0439
42,18.027425,-67.14851999999999,2020-07-13,h00v00,140.0,302.0,,
43,18.027425,-67.14851999999999,2020-07-14,h00v00,140.0,302.0,,
44,18.027425,-67.14851999999999,2020-07-15,h00v00,140.0,302.0,,307.1962
45,18.027425,-67.14851999999999,2020-07-16,h00v00,140.0,302.0,,
46,18.027425,-67.14851999999999,2020-07-17,h00v00,140.0,302.0,,306.7856
47,18.027425,-67.14851999999999,2020-07-18,h00v00,140.0,302.0,,
48,18.027425,-67.14851999999999,2020-07-19,h00v00,140.0,302.0,,
49,18.027425,-67.14851999999999,2020-07-20,h00v00,140.0,302.0,,306.5043
50,29.480144,-98.470846,2020-05-31,h00v00,103.0,218.0,0.1998,303.6563
51,29.480144,-98.470846,2020-06-01,h00v00,103.0,218.0,,
52,29.480144,-98.470846,2020-06-02,h00v00,103.0,218.0,,
53,29.480144,-98.470846,2020-06-03,h00v00,103.0,218.0,,
54,29.480144,-98.470846,2020-06-04,h00v00,103.0,218.0,,
55,29.480144,-98.470846,2020-06-05,h00v00,103.0,218.0,,
56,29.480144,-98.470846,2020-06-06,h00v00,103.0,218.0,0.1711,304.6909
57,29.480144,-98.470846,2020-06-07,h00v00,103.0,218.0,,
58,29.480144,-98.470846,2020-06-08,h00v00,103.0,218.0,0.158,306.2349
59,29.480144,-98.470846,2020-06-09,h00v00,103.0,218.0,,
60,29.480144,-98.470846,2020-06-10,h00v00,103.0,218.0,,
61,29.480144,-98.470846,2020-06-11,h00v00,103.0,218.0,0.1389,304.7466
62,29.480144,-98.470846,2020-06-12,h00v00,103.0,218.0,,
63,29.480144,-98.470846,2020-06-13,h00v00,103.0,218.0,,
64,29.480144,-98.470846,2020-06-14,h00v00,103.0,218.0,0.1374,304.2144
65,29.480144,-98.470846,2020-06-15,h00v00,103.0,218.0,,
66,29.480144,-98.470846,2020-06-16,h00v00,103.0,218.0,0.1498,305.2588
67,29.480144,-98.470846,2020-06-18,h00v00,103.0,218.0,,
68,29.480144,-98.470846,2020-06-19,h00v00,103.0,218.0,0.1403,306.0366
69,29.480144,-98.470846,2020-06-20,h00v00,103.0,218.0,,
70,29.480144,-98.470846,2020-06-21,h00v00,103.0,218.0,,
71,29.480144,-98.470846,2020-06-22,h00v00,103.0,218.0,0.1476,306.5148
72,29.480144,-98.470846,2020-06-23,h00v00,103.0,218.0,,
73,29.480144,-98.470846,2020-06-24,h00v00,103.0,218.0,0.2002,306.4065
74,29.480144,-98.470846,2020-06-25,h00v00,103.0,218.0,,
75,29.480144,-98.470846,2020-06-26,h00v00,103.0,218.0,,
76,29.480144,-98.470846,2020-06-27,h00v00,103.0,218.0,0.2196,306.3408
77,29.480144,-98.470846,2020-06-28,h00v00,103.0,218.0,,
78,29.480144,-98.470846,2020-06-29,h00v00,103.0,218.0,,
79,29.480144,-98.470846,2020-06-30,h00v00,103.0,218.0,0.1647,306.288
80,29.480144,-98.470846,2020-07-01,h00v00,103.0,218.0,,
81,29.480144,-98.470846,2020-07-02,h00v00,103.0,218.0,0.1488,307.3909
82,29.480144,-98.470846,2020-07-03,h00v00,103.0,218.0,,
83,29.480144,-98.470846,2020-07-04,h00v00,103.0,218.0,,
84,29.480144,-98.470846,2020-07-05,h00v00,103.0,218.0,0.1475,308.0907
85,29.480144,-98.470846,2020-07-06,h00v00,103.0,218.0,,
86,29.480144,-98.470846,2020-07-07,h00v00,103.0,218.0,,
87,29.480144,-98.470846,2020-07-08,h00v00,103.0,218.0,0.1385,308.4551
88,29.480144,-98.470846,2020-07-09,h00v00,103.0,218.0,,
89,29.480144,-98.470846,2020-07-10,h00v00,103.0,218.0,0.1085,308.4785
90,29.480144,-98.470846,2020-07-11,h00v00,103.0,218.0,,
91,29.480144,-98.470846,2020-07-12,h00v00,103.0,218.0,,
92,29.480144,-98.470846,2020-07-13,h00v00,103.0,218.0,0.1401,309.3494
93,29.480144,-98.470846,2020-07-14,h00v00,103.0,218.0,,
94,29.480144,-98.470846,2020-07-15,h00v00,103.0,218.0,,
95,29.480144,-98.470846,2020-07-16,h00v00,103.0,218.0,0.1294,308.8857
96,29.480144,-98.470846,2020-07-17,h00v00,103.0,218.0,,
97,29.480144,-98.470846,2020-07-18,h00v00,103.0,218.0,0.1337,308.8759
98,29.480144,-98.470846,2020-07-19,h00v00,103.0,218.0,,
99,29.480144,-98.470846,2020-07-20,h00v00,103.0,218.0,,
100,29.781019,-95.431896,2020-05-31,h00v00,102.0,226.0,0.33299999999999996,303.782
101,29.781019,-95.431896,2020-06-01,h00v00,102.0,226.0,,
102,29.781019,-95.431896,2020-06-02,h00v00,102.0,226.0,,
103,29.781019,-95.431896,2020-06-03,h00v00,102.0,226.0,,
104,29.781019,-95.431896,2020-06-04,h00v00,102.0,226.0,,
105,29.781019,-95.431896,2020-06-05,h00v00,102.0,226.0,0.3332,304.545
106,29.781019,-95.431896,2020-06-06,h00v00,102.0,226.0,,
107,29.781019,-95.431896,2020-06-07,h00v00,102.0,226.0,,
108,29.781019,-95.431896,2020-06-08,h00v00,102.0,226.0,0.2874,305.5561
109,29.781019,-95.431896,2020-06-09,h00v00,102.0,226.0,,
110,29.781019,-95.431896,2020-06-10,h00v00,102.0,226.0,,
111,29.781019,-95.431896,2020-06-11,h00v00,102.0,226.0,0.2775,303.8879
112,29.781019,-95.431896,2020-06-12,h00v00,102.0,226.0,,
113,29.781019,-95.431896,2020-06-13,h00v00,102.0,226.0,,
114,29.781019,-95.431896,2020-06-14,h00v00,102.0,226.0,,
115,29.781019,-95.431896,2020-06-15,h00v00,102.0,226.0,,
116,29.781019,-95.431896,2020-06-16,h00v00,102.0,226.0,0.2287,304.8213
117,29.781019,-95.431896,2020-06-18,h00v00,102.0,226.0,,
118,29.781019,-95.431896,2020-06-19,h00v00,102.0,226.0,0.2406,305.1255
119,29.781019,-95.431896,2020-06-20,h00v00,102.0,226.0,,
120,29.781019,-95.431896,2020-06-21,h00v00,102.0,226.0,0.324,305.4745
121,29.781019,-95.431896,2020-06-22,h00v00,102.0,226.0,,
122,29.781019,-95.431896,2020-06-23,h00v00,102.0,226.0,,
123,29.781019,-95.431896,2020-06-24,h00v00,102.0,226.0,0.4791,305.7582
124,29.781019,-95.431896,2020-06-25,h00v00,102.0,226.0,,
125,29.781019,-95.431896,2020-06-26,h00v00,102.0,226.0,,
126,29.781019,-95.431896,2020-06-27,h00v00,102.0,226.0,0.4001,305.3903
127,29.781019,-95.431896,2020-06-28,h00v00,102.0,226.0,,
128,29.781019,-95.431896,2020-06-29,h00v00,102.0,226.0,0.354,305.9704
129,29.781019,-95.431896,2020-06-30,h00v00,102.0,226.0,,
130,29.781019,-95.431896,2020-07-01,h00v00,102.0,226.0,,
131,29.781019,-95.431896,2020-07-02,h00v00,102.0,226.0,0.2859,307.0321
132,29.781019,-95.431896,2020-07-03,h00v00,102.0,226.0,,
133,29.781019,-95.431896,2020-07-04,h00v00,102.0,226.0,,
134,29.781019,-95.431896,2020-07-05,h00v00,102.0,226.0,0.2829,307.3134
135,29.781019,-95.431896,2020-07-06,h00v00,102.0,226.0,,
136,29.781019,-95.431896,2020-07-07,h00v00,102.0,226.0,0.2536,307.0024
137,29.781019,-95.431896,2020-07-08,h00v00,102.0,226.0,,
138,29.781019,-95.431896,2020-07-09,h00v00,102.0,226.0,,
139,29.781019,-95.431896,2020-07-10,h00v00,102.0,226.0,0.2545,307.5869
140,29.781019,-95.431896,2020-07-11,h00v00,102.0,226.0,,
141,29.781019,-95.431896,2020-07-12,h00v00,102.0,226.0,,
142,29.781019,-95.431896,2020-07-13,h00v00,102.0,226.0,0.2381,308.5705
143,29.781019,-95.431896,2020-07-14,h00v00,102.0,226.0,,
144,29.781019,-95.431896,2020-07-15,h00v00,102.0,226.0,0.2424,308.498
145,29.781019,-95.431896,2020-07-16,h00v00,102.0,226.0,,
146,29.781019,-95.431896,2020-07-17,h00v00,102.0,226.0,,
147,29.781019,-95.431896,2020-07-18,h00v00,102.0,226.0,0.2923,306.98900000000003
148,29.781019,-95.431896,2020-07-19,h00v00,102.0,226.0,,
149,29.781019,-95.431896,2020-07-20,h00v00,102.0,226.0,,
150,29.781038,-95.430862,2020-05-31,h00v00,102.0,226.0,0.33299999999999996,303.782
151,29.781038,-95.430862,2020-06-01,h00v00,102.0,226.0,,
152,29.781038,-95.430862,2020-06-02,h00v00,102.0,226.0,,
153,29.781038,-95.430862,2020-06-03,h00v00,102.0,226.0,,
154,29.781038,-95.430862,2020-06-04,h00v00,102.0,226.0,,
155,29.781038,-95.430862,2020-06-05,h00v00,102.0,226.0,0.3332,304.545
156,29.781038,-95.430862,2020-06-06,h00v00,102.0,226.0,,
157,29.781038,-95.430862,2020-06-07,h00v00,102.0,226.0,,
158,29.781038,-95.430862,2020-06-08,h00v00,102.0,226.0,0.2874,305.5561
159,29.781038,-95.430862,2020-06-09,h00v00,102.0,226.0,,
160,29.781038,-95.430862,2020-06-10,h00v00,102.0,226.0,,
161,29.781038,-95.430862,2020-06-11,h00v00,102.0,226.0,0.2775,303.8879
162,29.781038,-95.430862,2020-06-12,h00v00,102.0,226.0,,
163,29.781038,-95.430862,2020-06-13,h00v00,102.0,226.0,,
164,29.781038,-95.430862,2020-06-14,h00v00,102.0,226.0,,
165,29.781038,-95.430862,2020-06-15,h00v00,102.0,226.0,,
166,29.781038,-95.430862,2020-06-16,h00v00,102.0,226.0,0.2287,304.8213
167,29.781038,-95.430862,2020-06-18,h00v00,102.0,226.0,,
168,29.781038,-95.430862,2020-06-19,h00v00,102.0,226.0,0.2406,305.1255
169,29.781038,-95.430862,2020-06-20,h00v00,102.0,226.0,,
170,29.781038,-95.430862,2020-06-21,h00v00,102.0,226.0,0.324,305.4745
171,29.781038,-95.430862,2020-06-22,h00v00,102.0,226.0,,
172,29.781038,-95.430862,2020-06-23,h00v00,102.0,226.0,,
173,29.781038,-95.430862,2020-06-24,h00v00,102.0,226.0,0.4791,305.7582
174,29.781038,-95.430862,2020-06-25,h00v00,102.0,226.0,,
175,29.781038,-95.430862,2020-06-26,h00v00,102.0,226.0,,
176,29.781038,-95.430862,2020-06-27,h00v00,102.0,226.0,0.4001,305.3903
177,29.781038,-95.430862,2020-06-28,h00v00,102.0,226.0,,
178,29.781038,-95.430862,2020-06-29,h00v00,102.0,226.0,0.354,305.9704
179,29.781038,-95.430862,2020-06-30,h00v00,102.0,226.0,,
180,29.781038,-95.430862,2020-07-01,h00v00,102.0,226.0,,
181,29.781038,-95.430862,2020-07-02,h00v00,102.0,226.0,0.2859,307.0321
182,29.781038,-95.430862,2020-07-03,h00v00,102.0,226.0,,
183,29.781038,-95.430862,2020-07-04,h00v00,102.0,226.0,,
184,29.781038,-95.430862,2020-07-05,h00v00,102.0,226.0,0.2829,307.3134
185,29.781038,-95.430862,2020-07-06,h00v00,102.0,226.0,,
186,29.781038,-95.430862,2020-07-07,h00v00,102.0,226.0,0.2536,307.0024
187,29.781038,-95.430862,2020-07-08,h00v00,102.0,226.0,,
188,29.781038,-95.430862,2020-07-09,h00v00,102.0,226.0,,
189,29.781038,-95.430862,2020-07-10,h00v00,102.0,226.0,0.2545,307.5869
190,29.781038,-95.430862,2020-07-11,h00v00,102.0,226.0,,
191,29.781038,-95.430862,2020-07-12,h00v00,102.0,226.0,,
192,29.781038,-95.430862,2020-07-13,h00v00,102.0,226.0,0.2381,308.5705
193,29.781038,-95.430862,2020-07-14,h00v00,102.0,226.0,,
194,29.781038,-95.430862,2020-07-15,h00v00,102.0,226.0,0.2424,308.498
195,29.781038,-95.430862,2020-07-16,h00v00,102.0,226.0,,
196,29.781038,-95.430862,2020-07-17,h00v00,102.0,226.0,,
197,29.781038,-95.430862,2020-07-18,h00v00,102.0,226.0,0.2923,306.98900000000003
198,29.781038,-95.430862,2020-07-19,h00v00,102.0,226.0,,
199,29.781038,-95.430862,2020-07-20,h00v00,102.0,226.0,,
200,29.781057,-95.429829,2020-05-31,h00v00,102.0,226.0,0.33299999999999996,303.782
201,29.781057,-95.429829,2020-06-01,h00v00,102.0,226.0,,
202,29.781057,-95.429829,2020-06-02,h00v00,102.0,226.0,,
203,29.781057,-95.429829,2020-06-03,h00v00,102.0,226.0,,
204,29.781057,-95.429829,2020-06-04,h00v00,102.0,226.0,,
205,29.781057,-95.429829,2020-06-05,h00v00,102.0,226.0,0.3332,304.545
206,29.781057,-95.429829,2020-06-06,h00v00,102.0,226.0,,
207,29.781057,-95.429829,2020-06-07,h00v00,102.0,226.0,,
208,29.781057,-95.429829,2020-06-08,h00v00,102.0,226.0,0.2874,305.5561
209,29.781057,-95.429829,2020-06-09,h00v00,102.0,226.0,,
210,29.781057,-95.429829,2020-06-10,h00v00,102.0,226.0,,
211,29.781057,-95.429829,2020-06-11,h00v00,102.0,226.0,0.2775,303.8879
212,29.781057,-95.429829,2020-06-12,h00v00,102.0,226.0,,
213,29.781057,-95.429829,2020-06-13,h00v00,102.0,226.0,,
214,29.781057,-95.429829,2020-06-14,h00v00,102.0,226.0,,
215,29.781057,-95.429829,2020-06-15,h00v00,102.0,226.0,,
216,29.781057,-95.429829,2020-06-16,h00v00,102.0,226.0,0.2287,304.8213
217,29.781057,-95.429829,2020-06-18,h00v00,102.0,226.0,,
218,29.781057,-95.429829,2020-06-19,h00v00,102.0,226.0,0.2406,305.1255
219,29.781057,-95.429829,2020-06-20,h00v00,102.0,226.0,,
220,29.781057,-95.429829,2020-06-21,h00v00,102.0,226.0,0.324,305.4745
221,29.781057,-95.429829,2020-06-22,h00v00,102.0,226.0,,
222,29.781057,-95.429829,2020-06-23,h00v00,102.0,226.0,,
223,29.781057,-95.429829,2020-06-24,h00v00,102.0,226.0,0.4791,305.7582
224,29.781057,-95.429829,2020-06-25,h00v00,102.0,226.0,,
225,29.781057,-95.429829,2020-06-26,h00v00,102.0,226.0,,
226,29.781057,-95.429829,2020-06-27,h00v00,102.0,226.0,0.4001,305.3903
227,29.781057,-95.429829,2020-06-28,h00v00,102.0,226.0,,
228,29.781057,-95.429829,2020-06-29,h00v00,102.0,226.0,0.354,305.9704
229,29.781057,-95.429829,2020-06-30,h00v00,102.0,226.0,,
230,29.781057,-95.429829,2020-07-01,h00v00,102.0,226.0,,
231,29.781057,-95.429829,2020-07-02,h00v00,102.0,226.0,0.2859,307.0321
232,29.781057,-95.429829,2020-07-03,h00v00,102.0,226.0,,
233,29.781057,-95.429829,2020-07-04,h00v00,102.0,226.0,,
234,29.781057,-95.429829,2020-07-05,h00v00,102.0,226.0,0.2829,307.3134
235,29.781057,-95.429829,2020-07-06,h00v00,102.0,226.0,,
236,29.781057,-95.429829,2020-07-07,h00v00,102.0,226.0,0.2536,307.0024
237,29.781057,-95.429829,2020-07-08,h00v00,102.0,226.0,,
238,29.781057,-95.429829,2020-07-09,h00v00,102.0,226.0,,
239,29.781057,-95.429829,2020-07-10,h00v00,102.0,226.0,0.2545,307.5869
240,29.781057,-95.429829,2020-07-11,h00v00,102.0,226.0,,
